constituent_id,contact_id,amount,payment_date
5932,84887,25,2006-07-19
2993,83700,100,2006-07-19
2993,83700,100,2006-07-19
5932,84887,25,2007-07-11
2993,83700,100,2007-07-11
5424,72947,75,2008-03-10
5932,84887,25,2008-05-30
12714,70449,11665.86,2009-01-13
12714,70449,11665.86,2009-01-13
8504,85505,20.84,2010-04-02
115,72236,20.83,2010-08-05
14898,85897,50,2011-05-03
14989,86820,100,2011-06-24
14898,85897,50,2011-07-05
14898,85897,50,2011-10-04
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
6289,72231,100,2012-11-20
3579,83962,25,2013-06-13
14673,82751,20,2014-01-16
115,72236,20.83,2014-07-07
16314,84268,162.5,2016-04-12
45522,72191,255,2016-08-29
16818,86536,250,2017-04-04
45582,83788,175,2017-05-22
115,72236,20.83,2018-09-12
46024,84202,100,2019-02-27
46024,84202,100,2019-02-27
46024,84202,50,2019-02-27
46024,84202,100,2019-02-27
46024,84202,50,2019-02-27
46024,84202,100,2019-02-27
46024,84202,100,2019-02-27
15091,71132,150,2020-05-22
10247,70745,58.82,2020-08-06
3775,86194,100,2021-05-21
10247,70745,400,2021-06-04
129,72392,100,2022-05-20
7964,83411,200,2005-03-01
2347,70912,1000,2001-05-14
6448,85790,125,1999-12-21
4228,86210,175,1999-12-17
4228,86210,175,1999-12-17
4228,86210,175,1999-12-17
223,73368,250,2000-05-15
223,73368,250,2000-02-08
223,73368,250,2000-05-15
223,73368,250,2001-05-14
223,73368,500,2002-05-31
223,73368,250,2000-05-15
223,73368,250,2001-09-04
5760,71925,100,2001-06-28
5760,71925,100,2001-06-28
2993,83700,100,2000-04-27
2993,83700,100,2000-04-27
2993,83700,100,2001-04-03
2993,83700,100,2001-04-03
2993,83700,100,2001-12-26
2993,83700,100,2001-12-26
2993,83700,100,2004-11-24
2993,83700,100,2004-11-24
7558,84371,50,2001-05-31
7558,84371,50,2001-05-31
7558,84371,50,2004-07-01
7558,84371,50,2004-07-01
5932,84887,25,2004-07-01
5932,84887,25,2005-07-01
5932,84887,25,2005-07-01
6075,85686,100,2000-10-11
5760,71925,100,2001-06-28
